30.23,32.23,37.64,45.44,53.87,61,65.38,65.39,61.6,55.09,48.09,42.26,38.5,36.36,34.05,29.27,21.78,14.17,9.66,8.41,7.91,7.1,7.54,10.36,15.47,22.04,29.09,36.2,43.63,50.4
28.1,30.38,36.44,45.25,54.8,62.89,67.99,68.08,63.95,56.58,48.62,41.84,37.38,34.99,32.85,28.45,21.24,13.72,9.25,8.08,7.62,6.79,7.25,10.11,15.26,21.87,28.98,36.13,43.64,50.65
25.36,28.1,34.1,42.35,50.96,57.91,61.71,61.16,56.97,50.58,44.3,39.77,37.68,37.03,35.55,30.54,22.13,13.43,8.3,7.11,7.15,6.88,7.41,9.93,14.66,21.01,28.07,35.38,43.22,50.69
29.68,31.75,37.26,45.13,53.5,60.31,64.06,63.14,58.24,50.81,43.16,37.18,33.71,32.38,30.94,26.91,19.89,12.78,8.81,7.98,7.63,6.84,7.29,10.02,14.98,21.45,28.49,35.7,43.35,50.44
28.04,30.21,36.25,45.05,54.57,62.55,67.45,67.22,62.68,54.94,46.64,39.7,35.23,33.09,31.33,27.42,20.56,13.33,9,7.85,7.32,6.49,7.02,9.93,15.08,21.7,28.82,36.01,43.6,50.82
26.17,29.02,35.02,43,51.11,57.41,60.49,59.27,54.54,47.85,41.42,36.92,34.91,34.55,33.33,28.63,20.54,12.34,7.82,7.15,7.32,6.75,6.91,9.22,13.92,20.35,27.56,35.06,43.13,51.29
27.86,31.06,37.26,45.2,53.02,58.76,60.82,58.36,52.14,44.3,37.19,32.82,31.84,33.31,34.18,30.8,22.65,13.34,7.73,6.71,7.35,7.34,7.22,8.48,11.91,17.42,24.31,32.09,40.9,49.63
27.5,30.3,35.86,43.08,50.24,55.54,57.56,55.6,50.38,43.83,38,34.6,34.04,35.05,34.7,30.02,21.32,12.41,7.58,7.1,7.73,7.46,7.4,9.12,13.15,19.07,26.08,33.67,42.06,50.22
28.18,30.88,36.36,43.5,50.62,55.97,58.18,56.47,51.55,45.13,39.2,35.36,34,34.08,32.98,28.18,20.05,12.1,7.89,7.35,7.45,6.77,6.78,8.89,13.39,19.69,26.88,34.47,42.73,51.07
29.8,31.93,37.31,44.8,52.62,58.81,61.92,60.54,55.46,48.19,41.04,35.76,32.97,31.95,30.31,25.74,18.41,11.68,8.42,7.93,7.38,6.32,6.62,9.17,13.92,20.26,27.35,34.75,42.79,50.56
